game_id,player,positionGroupType,shirtNumber,team
12873,"{'id': '24122', 'nickname': 'Jair Paula'}",RCB,32,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16166', 'nickname': 'João Ricardo'}",GK,1,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16191', 'nickname': 'Juan Martín Lucero'}",CF,9,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16183', 'nickname': 'Pedro Rocha'}",LW,32,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '18614', 'nickname': 'Gabriel Inocêncio'}",RWB,12,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '7385', 'nickname': 'Maximiliano Silvera'}",CF,17,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16175', 'nickname': 'Tinga'}",RB,2,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16190', 'nickname': 'Lucas Sasha'}",DM,88,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '2530', 'nickname': 'Caio Alexandre'}",CM,8,"{'id': '437', 'name': 'Fortaleza'}"
12874,"{'id': '17893', 'nickname': 'Caio Paulista'}",LW,38,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '18862', 'nickname': 'Felipe Negrucci'}",DM,46,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '3981', 'nickname': 'Gerson'}",CM,20,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '16123', 'nickname': 'Santos'}",GK,1,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '18102', 'nickname': 'Rafael'}",GK,23,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '17896', 'nickname': 'Juan'}",CF,31,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '18679', 'nickname': 'Pedro Vilhena'}",AM,47,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '3963', 'nickname': 'Luiz Araújo'}",RW,31,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '16737', 'nickname': 'Matheus Cunha'}",GK,25,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '18112', 'nickname': 'Nathan Mendes'}",RB,45,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '13500', 'nickname': 'Erison'}",CF,49,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '24556', 'nickname': 'Talles Wander'}",CF,26,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '13930', 'nickname': 'Giorgian De Arrascaeta'}",AM,14,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '16126', 'nickname': 'Filipe Luís'}",LB,16,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '13936', 'nickname': 'Robert Arboleda'}",RCB,5,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '24543', 'nickname': 'William Gomes'}",F,39,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '17891', 'nickname': 'David'}",LW,22,"{'id': '444', 'name': 'São Paulo FC'}"
12874,"{'id': '8006', 'nickname': 'Everton'}",LW,11,"{'id': '435', 'name': 'Flamengo'}"
12874,"{'id': '16129', 'nickname': 'Rodrigo Caio'}",RCB,3,"{'id': '435', 'name': 'Flamengo'}"
